100,39
200,57
300,73
400,85
500,106
600,111
700,100
800,94
900,81
1000,73
1100,48
1200,27
1300,0
1400,-33
1500,-56
1600,-68
1700,-80
1800,-83
1900,-86
2000,-89
2100,-79
2200,-60
2300,-48
2400,-22
2500,-3
2600,30
2700,48
2800,70
2900,86
3000,98
3100,113
3200,100
3300,101
3400,81
3500,70
3600,47
3700,27
3800,0
3900,-31
4000,-53
4100,-64
4200,-76
4300,-88
4400,-94
4500,-94
4600,-74
4700,-65
4800,-52
4900,-17
5000,8
5100,29
5200,59
5300,71
5400,84
5500,99
5600,105
5700,111
5800,104
5900,86
6000,70
6100,41
6200,15
6300,-9
6400,-21
6500,-54
6600,-73
6700,-80
6800,-97
6900,-99
7000,-85
7100,-83
7200,-63
7300,-38
7400,-25
7500,8
7600,24
7700,52
7800,77
7900,90
8000,101
8100,110
8200,101
8300,92
8400,90
8500,64
8600,55
8700,31
8800,6
8900,-21
9000,-53
9100,-63
9200,-83
9300,-82
9400,-90
9500,-86
9600,-84
9700,-66
9800,-46
9900,-24
